id	company	role	application_status	listing_status	decision_reason
job-0182	Pollard Digital Solutions	Frontend Software Engineer-Game Studio	not_started	open	seniority_too_high
job-0183	ZYNE	Full Stack Engineer JavaScript (m/ž)	not_started	unknown	seniority_too_high
job-0184	Qaracter - Beyond your Challenge	React Frontend Developer	not_started	unknown	geo_restriction
job-0185	Neotalent Conclusion	React Developer	not_started	unknown	geo_restriction
job-0186	FetchJobs.co (linkedin-4453065795)	Frontend Developer	not_started	unknown	geo_restriction
job-0187	KTKsoft Informatikai és Tanácsadó Kft.	Senior Frontend fejlesztő (react, nextjs, typescript)	not_started	unknown	seniority_too_high
job-0188	Harper Russo	Senior Full Stack Engineer	not_started	unknown	seniority_too_high
job-0189	Etteplan	Frontend Developer - future projects (M/F/NB)	not_started	unknown	geo_restriction
job-0190	Hire Feed (linkedin-4453053820)	Junior Software Engineer (Remote)	not_started	unknown	geo_restriction
job-0191	Т-Банк	Junior Frontend Developer (React)	not_started	unknown	geo_restriction
job-0192	Т-Банк	Junior Frontend-разработчик (React)	not_started	unknown	geo_restriction
job-0193	Т-Банк	Junior/Middle JS React Developer (Шопинг и Реклама)	not_started	unknown	geo_restriction
job-0194	Яндекс MultiTrack	Разработчик интерфейсов (Игры)	not_started	closed	closed_before_application
job-0195	Яндекс MultiTrack	Разработчик интерфейсов (Директ)	not_started	unknown	other
job-0196	Slash	Junior Frontend Developer	not_started	unknown	other
job-0197	Название скрыто (Sport&Technologies)	Frontend Developer	not_started	unknown	other
job-0198	getmatch (getmatch-22455)	Frontend Engineer	not_started	closed	closed_before_application
job-0199	Credal.ai	Founding Frontend/UX Software Engineer	not_started	unknown	geo_restriction
job-0200	Authologic	Frontend Engineer (UI & Product-Focused)	not_started	unknown	geo_restriction
job-0201	Rebolt	Founding Frontend/Design Engineer	not_started	unknown	geo_restriction
job-0202	Humaans	Software Engineer (Full Stack)	not_started	unknown	geo_restriction
job-0203	Eight Sleep	Full Stack Engineer, Web	not_started	unknown	seniority_too_high
job-0204	Bloom	Founding Engineer	not_started	unknown	seniority_too_high
job-0205	Lago	Solutions Engineer	not_started	unknown	role_not_frontend
job-0206	Cogram	Ex Technical Founder (Product Engineer)	not_started	unknown	other
job-0207	Runway	Full Stack Engineer	not_started	unknown	geo_restriction
job-0208	Windmill	Product Software Engineer	not_started	unknown	geo_restriction
job-0209	Sitefire	Founding Product Engineer	not_started	unknown	geo_restriction
job-0210	Chima	Frontend Engineer	not_started	unknown	geo_restriction
job-0211	Wavelength	Founding Software Engineer (Remote)	not_started	unknown	geo_restriction
job-0212	Swif.ai	Frontend Engineer (Vue, Browser Extensions, AI Agent)	not_started	unknown	geo_restriction
job-0213	Per Diem	React Native Engineer	not_started	unknown	stack_mismatch
job-0214	Zepto	Founding Frontend Engineer	not_started	unknown	stack_mismatch
job-0215	Busyboard	Frontend Developer (React)	not_started	unknown	company_not_interesting
job-0216	MacPaw	Junior Front-End Engineer	not_started	open	other
job-0217	Monetha	Front-End Engineer (Web3)	applied	unknown	
job-0218	nove8	Front-End Developer	rejected	open	
job-0219	Addi	Frontend Engineer IC2	rejected	unknown	
job-0220	Kolesa Group	Middle Frontend-разработчик (Kolesa.kz)	not_started	open	geo_restriction
job-0221	YouHodler	Frontend Developer	not_started	open	geo_restriction
job-0222	Welcome to the Jungle	Frontend Engineer (React)	not_started	unknown	geo_restriction
job-0223	V4Scale	Angular Developer (Storage BU)	not_started	open	seniority_too_high
job-0224	Trace One	Software Engineer	not_started	unknown	role_not_frontend
job-0225	Proximus Group	Fullstack Developer	not_started	unknown	seniority_too_high
job-0226	Learnlight	Frontend Software Engineer	not_started	unknown	seniority_too_high
job-0227	Learnlight	Frontend Software Engineer	not_started	unknown	seniority_too_high
job-0228	Gecko Dynamics	Frontend Developer	not_started	unknown	seniority_too_high
job-0229	Paires	Design Engineer	not_started	unknown	seniority_too_high
job-0230	Paires	Design Engineer	not_started	unknown	seniority_too_high
job-0231	3E	React Frontend Developer	not_started	unknown	geo_restriction
job-0232	Alpine Business Consulting	Associate Frontend Developer	not_started	closed	closed_before_application
job-0233	Bitpanda LA	Graduate Frontend Engineer React/TypeScript	not_started	unknown	geo_restriction
job-0234	Cisco	Software Engineer, Early in Career	not_started	unknown	geo_restriction
job-0235	Worldline	Junior Frontend Developer (1+ years)	not_started	unknown	geo_restriction
job-0236	Synpulse	Junior Full Stack Software Engineer	not_started	unknown	geo_restriction
job-0237	Fortum	Junior Software Engineer	not_started	unknown	work_authorization
job-0238	Jobs Ai	Full-Stack Developer	not_started	closed	closed_before_application
job-0239	Nooxit	Full Stack Engineer	not_started	unknown	role_not_frontend
job-0240	Welcome to the Jungle France	Frontend Engineer JS/React	not_started	unknown	geo_restriction
job-0241	SimpleStudy	Staff Front-end Engineer	not_started	unknown	seniority_too_high
job-0242	Hooh	Frontend Developer (AI)	not_started	unknown	geo_restriction
job-0243	rindus	Frontend Engineer (React)	not_started	unknown	geo_restriction
job-0244	NATEK	Fullstack Developer (Go, React)	not_started	unknown	role_not_frontend
job-0245	Insense	Frontend Developer (React)	not_started	unknown	seniority_too_high
job-0246	Planner5D	Frontend Engineer (3D Graphics)	not_started	open	stack_mismatch
job-0247	RedLab	Middle/Senior Frontend разработчик (Vue)	not_started	open	stack_mismatch
job-0248	Buffer	Senior Design Engineer	not_started	closed	closed_before_application
job-0249	Provable	Senior Frontend Engineer (Web3)	applied	open	
job-0250	Codekeeper	Frontend Developer (React)	applied	open	
job-0251	Sticker Mule	Fullstack Software Engineer (AI)	applied	unknown	
job-0252	Sia	Senior Frontend Engineer (React)	not_started	unknown	geo_restriction
job-0253	Unknown	Frontend разработчик (Angular)	not_started	unknown	other
job-0254	BJ-Ecom	Shopify Website Builder (Ecommerce)	reviewing	unknown	
job-0255	VyaparReady	Remote Website Developer	not_started	unknown	role_not_frontend
job-0256	Unknown	Lead Frontend Developer (iGaming)	not_started	unknown	seniority_too_high
job-0257	Unknown	Senior Frontend Engineer (AI)	rejected	unknown	
job-0258	GBagency	Lead Graphics Engineer (Web3D)	not_started	unknown	role_not_frontend
job-0259	Unknown	Senior Frontend Engineer (Blockchain)	applied	unknown	
job-0260	Unknown	Frontend / Mobile Developer (React / TypeScript / Flutter)	not_started	unknown	other
job-0261	Karma8	Frontend-разработчик (Vanilla JavaScript)	applied	unknown	
job-0262	Starlims	Senior AI Engineer (Agentic Systems)	reviewing	unknown	
job-0263	1inch Network	Tech Lead, dApp (Web3)	not_started	unknown	geo_restriction
job-0264	Koinly	Frontend Staff Engineer	not_started	unknown	geo_restriction
job-0265	Thrill Labs	Senior Front End Engineer	not_started	open	geo_restriction
job-0266	Squarepoint Capital	Junior Software Developer - Frontend (React)	not_started	unknown	geo_restriction
job-0267	AIQU	Front End Developer (Angular)	not_started	unknown	stack_mismatch
job-0268	CoinsPaid	Frontend Engineer (Design Core Team) (React)	not_started	unknown	seniority_too_high
job-0269	Centerex	Frontend Developer	not_started	unknown	seniority_too_high
job-0270	Patrianna	Frontend Developer (React)	not_started	unknown	geo_restriction
job-0271	Akvelon	Frontend Intern (React)	not_started	unknown	geo_restriction
job-0272	Gubanova and Partners	Frontend Developer (React)	not_started	unknown	geo_restriction
job-0273	Unknown (Telegram source)	Frontend Developer (Middle+) (React/Next.js)	not_started	unknown	seniority_too_high
job-0274	SilentRoom	Middle Frontend Engineer (React/MobX/AI)	not_started	unknown	seniority_too_high
job-0275	Protege	Software Engineer (TypeScript/Next.js)	not_started	unknown	seniority_too_high
job-0276	Ciklum	JavaScript Engineer	not_started	unknown	geo_restriction
job-0277	THRYVE	Junior Software Engineer - Typescript AI	not_started	unknown	geo_restriction
job-0278	kolum	Product Engineer	applied	open	
job-0279	Computer Futures	Frontend-Entwickler (w/m/d) 60.000€	not_started	unknown	geo_restriction
job-0280	BJAK	Full Stack Engineer	not_started	unknown	geo_restriction
job-0281	BJAK	Full Stack Engineer	not_started	unknown	geo_restriction
job-0282	ITech Consult AG	React Frontend Developer (m/w/d)	reviewing	unknown	
job-0283	Expana	Junior Software Engineer	not_started	unknown	work_authorization
job-0284	Harnham	Junior Software Engineer	not_started	unknown	geo_restriction
job-0285	Metrikflow	Full Stack Engineer	applied	open	
job-0286	Biotasmart	Full Stack Junior-Mid (Next.js + TypeScript)	not_started	unknown	geo_restriction
job-0287	Employer.com	Full Stack Software Developer	not_started	unknown	role_not_frontend
job-0288	Tyllo d.o.o.	Junior Frontend Developer	not_started	closed	closed_before_application
job-0289	New Leaf Technology Consulting d.o.o.	Junior Software Engineer	not_started	unknown	role_not_frontend
job-0290	++hellohello	Creative Front-end Engineer	not_started	unknown	seniority_too_high
job-0291	Unknown (TalentMove source)	Frontend Developer for eCommerce	not_started	unknown	seniority_too_high
job-0292	Сбер	Frontend Developer по React	not_started	unknown	geo_restriction
job-0293	Unknown (TalentMove source)	Middle/Senior Frontend Developer	not_started	unknown	geo_restriction
job-0294	Unknown (TalentMove source)	Frontend Developer (Angular)	not_started	unknown	stack_mismatch
job-0295	AWISEE	Frontend Developer (React/Vue)	not_started	unknown	seniority_too_high
job-0296	Secreate	Frontend Developer (Vue.js)	not_started	unknown	geo_restriction
job-0297	Tile.Expert	Middle/Senior Frontend Developer (Angular)	not_started	unknown	stack_mismatch
job-0298	Т-Банк	Senior Frontend Developer (React)	not_started	unknown	seniority_too_high
job-0299	Cloud.ru	Frontend разработчик	not_started	open	geo_restriction
job-0300	Unknown (TalentMove source)	Frontend Developer (React + Next.js)	not_started	unknown	other
job-0301	MISE	Frontend Developer Intern (React/Next.js)	not_started	unknown	geo_restriction
job-0302	MISE	Junior Frontend Developer (Vue)	not_started	unknown	geo_restriction
job-0303	Airbnb	Senior Frontend Engineer	not_started	unknown	seniority_too_high
job-0304	МКК «Небус»	Middle Frontend Developer (Vue/Nuxt)	not_started	unknown	stack_mismatch
job-0305	Bastion Research	Senior Frontend / Mobile Developer	not_started	unknown	seniority_too_high
job-0306	Алеан	Team Lead Frontend (Vue/Angular)	not_started	unknown	seniority_too_high
job-0307	МТС	Frontend Developer Intern (Vue 3)	not_started	unknown	geo_restriction
job-0308	Bjak	Engineering Manager Thailand	not_started	unknown	role_not_frontend
job-0309	HENNGE	Senior Frontend Engineer	not_started	unknown	seniority_too_high
job-0310	Picnic	Software Engineer - Consumer Products	not_started	unknown	stack_mismatch
job-0311	Picnic	Senior Software Engineer - Warehouse Systems	not_started	unknown	seniority_too_high
job-0312	Vinted	Director of Engineering, Frontend technologies, Marketplace (Limited-time Relocation Bonus)	not_started	unknown	seniority_too_high
job-0313	Welltech	Head of Growth - Paid Social	not_started	unknown	role_not_frontend
job-0314	Synechron	Angular Software Engineer	applied	open	
job-0315	Scribe	Full-Stack Engineer, Enterprise Scale	not_started	unknown	stack_mismatch
job-0316	Pypestream	Full-Stack Engineer	not_started	open	other
job-0317	0G Labs	Product Engineer	not_started	unknown	stack_mismatch
job-0318	Aios Medical	Software Engineer at AIOS — Remote, €40k-€80k /yr + equity	not_started	unknown	seniority_too_high
job-0319	KITRO	Software Engineer	not_started	unknown	other
job-0320	Salmon	Software Engineer (Internal Tools & HR Automation)	not_started	unknown	role_not_frontend
job-0321	In The Pocket	React Front-End Engineer	not_started	open	geo_restriction
job-0322	IntegrityNext	Frontend Engineer (React)	not_started	unknown	geo_restriction
job-0323	Global Payments	Medior React Developer	not_started	unknown	geo_restriction
job-0324	Guidewire	Software Engineer II (P2) (Frontend)	not_started	unknown	geo_restriction
job-0325	Hinge Health	Fullstack Engineer (React/Node)	not_started	unknown	geo_restriction
job-0326	Ciena	Software Developer - Frontend UI/UX New Grad	not_started	unknown	geo_restriction
job-0327	Bell Integrator	Frontend Developer (AI)	not_started	unknown	geo_restriction
job-0328	BSS	Frontend-разработчик (React)	not_started	unknown	geo_restriction
job-0329	Технопарк Сколково	Web-программист (React)	not_started	unknown	geo_restriction
job-0330	Just Eat Takeaway.com	Frontend Developer	not_started	unknown	geo_restriction
job-0331	АгроТаргет	Frontend Разработчик (React/Vue)	not_started	unknown	geo_restriction
job-0332	Zigmund.online	Frontend Developer (React)	not_started	unknown	geo_restriction
job-0333	Fleetio	Web Developer (Next.js)	not_started	unknown	geo_restriction
job-0334	Технопарк Сколково	Junior frontend-разработчик (React)	not_started	unknown	geo_restriction
job-0335	LeasePoint	Верстальщик (JavaScript)	not_started	unknown	geo_restriction
job-0336	Z-Wave.Me	Разработчик веб-интерфейса умного дома (IoT)	not_started	unknown	geo_restriction
job-0337	Технопарк Сколково	Разработчик JavaScript (React)	not_started	unknown	geo_restriction
job-0338	Лаборатория облачных технологий	Frontend разработчик (JavaScript)	not_started	unknown	geo_restriction
job-0339	BrainySoft	Frontend разработчик (Fintech)	not_started	unknown	geo_restriction
job-0340	Технопарк Сколково	Web Frontend (React)	not_started	unknown	geo_restriction
job-0341	Aist.tech	React JS Разработчик (React)	not_started	unknown	geo_restriction
job-0342	Interview Copilot AI	Frontend Engineer (React)	not_started	unknown	other
job-0343	Undisclosed (hirify-814491)	Junior Frontend Developer (React)	not_started	unknown	other
job-0344	Constructor	Full Stack Engineer: Searchandizing	not_started	open	role_not_frontend
job-0345	Supabase	Commercial FinOps Lead	not_started	open	role_not_frontend
job-0346	Supabase	Senior Data Analyst - Marketing	not_started	open	role_not_frontend
job-0347	Supabase	Brand Designer	not_started	open	role_not_frontend
job-0348	Supabase	Product Designer	not_started	open	role_not_frontend
job-0349	Supabase	Anti Abuse Engineer	not_started	open	stack_mismatch
job-0350	Supabase	API Engineer	not_started	open	geo_restriction
job-0351	Garner Health	Senior Software Engineer	not_started	open	work_authorization
